"","id","home_team","home_score","away_team","away_score","total_score","diff_score","home_win","date","year","month","decade","temperature","humidity","wind_mph"
"27","196010230was","Washington Redskins",27,"Pittsburgh Steelers",27,54,0,FALSE,"10/23/1960",1960,"October","1960s",51,64,8
"28","196010230crd","St. Louis Cardinals",12,"Dallas Cowboys",10,22,2,TRUE,"10/23/1960",1960,"October","1960s",61,55,11
"29","196010230det","Detroit Lions",30,"Baltimore Colts",17,47,13,TRUE,"10/23/1960",1960,"October","1960s",53,60,22
"30","196010230ram","Los Angeles Rams",24,"Chicago Bears",24,48,0,FALSE,"10/23/1960",1960,"October","1960s",63,85,7
"31","196010300pit","Pittsburgh Steelers",13,"Green Bay Packers",19,32,-6,FALSE,"10/30/1960",1960,"October","1960s",50,50,7
"32","196010300was","Washington Redskins",10,"Cleveland Browns",31,41,-21,FALSE,"10/30/1960",1960,"October","1960s",54,56,3
"33","196010300ram","Los Angeles Rams",48,"Detroit Lions",35,83,13,TRUE,"10/30/1960",1960,"October","1960s",62,88,6
"34","196010300sfo","San Francisco 49ers",25,"Chicago Bears",7,32,18,TRUE,"10/30/1960",1960,"October","1960s",60,65,9
"35","196010300nyg","New York Giants",13,"St. Louis Cardinals",20,33,-7,FALSE,"10/30/1960",1960,"October","1960s",54,52,27
"36","196010300dal","Dallas Cowboys",7,"Baltimore Colts",45,52,-38,FALSE,"10/30/1960",1960,"October","1960s",65,62,23
"37","196011060sfo","San Francisco 49ers",0,"Detroit Lions",24,24,-24,FALSE,"11/6/1960",1960,"November","1960s",57,87,10
"38","196011060cle","Cleveland Browns",13,"New York Giants",17,30,-4,FALSE,"11/6/1960",1960,"November","1960s",34,91,13
"39","196011060phi","Philadelphia Eagles",34,"Pittsburgh Steelers",7,41,27,TRUE,"11/6/1960",1960,"November","1960s",42,71,12
"40","196011060clt","Baltimore Colts",38,"Green Bay Packers",24,62,14,TRUE,"11/6/1960",1960,"November","1960s",44,65,14
"41","196011060dal","Dallas Cowboys",13,"Los Angeles Rams",38,51,-25,FALSE,"11/6/1960",1960,"November","1960s",52,51,13
"42","196011060crd","St. Louis Cardinals",44,"Washington Redskins",7,51,37,TRUE,"11/6/1960",1960,"November","1960s",44,55,16
"43","196011130nyg","New York Giants",27,"Pittsburgh Steelers",24,51,3,TRUE,"11/13/1960",1960,"November","1960s",48,61,7
"44","196011130cle","Cleveland Browns",28,"St. Louis Cardinals",27,55,1,TRUE,"11/13/1960",1960,"November","1960s",45,60,12
"45","196011130chi","Chicago Bears",20,"Baltimore Colts",24,44,-4,FALSE,"11/13/1960",1960,"November","1960s",47,63,12
"46","196011130det","Detroit Lions",12,"Los Angeles Rams",10,22,2,TRUE,"11/13/1960",1960,"November","1960s",45,59,11
"47","196011130phi","Philadelphia Eagles",19,"Washington Redskins",13,32,6,TRUE,"11/13/1960",1960,"November","1960s",39,68,5
"48","196011130gnb","Green Bay Packers",41,"Dallas Cowboys",7,48,34,TRUE,"11/13/1960",1960,"November","1960s",42,70,12
"49","196011200nyg","New York Giants",10,"Philadelphia Eagles",17,27,-7,FALSE,"11/20/1960",1960,"November","1960s",49,51,12
"50","196011200pit","Pittsburgh Steelers",14,"Cleveland Browns",10,24,4,TRUE,"11/20/1960",1960,"November","1960s",38,72,7
"51","196011200gnb","Green Bay Packers",31,"Los Angeles Rams",33,64,-2,FALSE,"11/20/1960",1960,"November","1960s",41,80,8
"52","196011200chi","Chicago Bears",28,"Detroit Lions",7,35,21,TRUE,"11/20/1960",1960,"November","1960s",43,76,10
"53","196011200dal","Dallas Cowboys",14,"San Francisco 49ers",26,40,-12,FALSE,"11/20/1960",1960,"November","1960s",57,74,11
"54","196011200was","Washington Redskins",14,"St. Louis Cardinals",26,40,-12,FALSE,"11/20/1960",1960,"November","1960s",49,55,5
"55","196011240det","Detroit Lions",23,"Green Bay Packers",10,33,13,TRUE,"11/24/1960",1960,"November","1960s",36,55,10
"56","196011270crd","St. Louis Cardinals",17,"Cleveland Browns",17,34,0,FALSE,"11/27/1960",1960,"November","1960s",63,80,12
"57","196011270clt","Baltimore Colts",22,"San Francisco 49ers",30,52,-8,FALSE,"11/27/1960",1960,"November","1960s",47,83,7
"58","196011270phi","Philadelphia Eagles",31,"New York Giants",23,54,8,TRUE,"11/27/1960",1960,"November","1960s",49,85,7
"59","196011270chi","Chicago Bears",17,"Dallas Cowboys",7,24,10,TRUE,"11/27/1960",1960,"November","1960s",54,90,14
"60","196011270pit","Pittsburgh Steelers",22,"Washington Redskins",10,32,12,TRUE,"11/27/1960",1960,"November","1960s",49,78,11
"61","196012040chi","Chicago Bears",13,"Green Bay Packers",41,54,-28,FALSE,"12/4/1960",1960,"December","1960s",49,50,19
"62","196012040cle","Cleveland Browns",27,"Washington Redskins",16,43,11,TRUE,"12/4/1960",1960,"December","1960s",41,56,12
"63","196012040ram","Los Angeles Rams",7,"San Francisco 49ers",23,30,-16,FALSE,"12/4/1960",1960,"December","1960s",54,58,8
"64","196012040clt","Baltimore Colts",15,"Detroit Lions",20,35,-5,FALSE,"12/4/1960",1960,"December","1960s",38,42,8
"65","196012040nyg","New York Giants",31,"Dallas Cowboys",31,62,0,FALSE,"12/4/1960",1960,"December","1960s",42,56,6
"66","196012040crd","St. Louis Cardinals",6,"Philadelphia Eagles",20,26,-14,FALSE,"12/4/1960",1960,"December","1960s",53,40,16
"67","196012100sfo","San Francisco 49ers",0,"Green Bay Packers",13,13,-13,FALSE,"12/10/1960",1960,"December","1960s",47,83,7
"68","196012110cle","Cleveland Browns",42,"Chicago Bears",0,42,42,TRUE,"12/11/1960",1960,"December","1960s",24,76,15
"69","196012110was","Washington Redskins",3,"New York Giants",17,20,-14,FALSE,"12/11/1960",1960,"December","1960s",36,55,7
"70","196012110pit","Pittsburgh Steelers",27,"Philadelphia Eagles",21,48,6,TRUE,"12/11/1960",1960,"December","1960s",28,76,12
"71","196012110ram","Los Angeles Rams",10,"Baltimore Colts",3,13,7,TRUE,"12/11/1960",1960,"December","1960s",55,72,5
"72","196012110det","Detroit Lions",23,"Dallas Cowboys",14,37,9,TRUE,"12/11/1960",1960,"December","1960s",21,62,16
"73","196012170ram","Los Angeles Rams",21,"Green Bay Packers",35,56,-14,FALSE,"12/17/1960",1960,"December","1960s",54,61,5
"74","196012180was","Washington Redskins",28,"Philadelphia Eagles",38,66,-10,FALSE,"12/18/1960",1960,"December","1960s",29,66,3
"75","196012180det","Detroit Lions",36,"Chicago Bears",0,36,36,TRUE,"12/18/1960",1960,"December","1960s",23,69,18
"76","196012180crd","St. Louis Cardinals",38,"Pittsburgh Steelers",7,45,31,TRUE,"12/18/1960",1960,"December","1960s",33,51,10
"77","196012180sfo","San Francisco 49ers",34,"Baltimore Colts",10,44,24,TRUE,"12/18/1960",1960,"December","1960s",53,87,7
"78","196012180nyg","New York Giants",34,"Cleveland Browns",48,82,-14,FALSE,"12/18/1960",1960,"December","1960s",31,52,14
"79","196012260phi","Philadelphia Eagles",17,"Green Bay Packers",13,30,4,TRUE,"12/26/1960",1960,"December","1960s",28,84,7
"80","196109170min","Minnesota Vikings",37,"Chicago Bears",13,50,24,TRUE,"9/17/1961",1961,"September","1960s",61,63,13
"81","196109170phi","Philadelphia Eagles",27,"Cleveland Browns",20,47,7,TRUE,"9/17/1961",1961,"September","1960s",61,55,13
"82","196109170nyg","New York Giants",10,"St. Louis Cardinals",21,31,-11,FALSE,"9/17/1961",1961,"September","1960s",63,54,18
"83","196109170dal","Dallas Cowboys",27,"Pittsburgh Steelers",24,51,3,TRUE,"9/17/1961",1961,"September","1960s",66,55,11
"84","196109170gnb","Green Bay Packers",13,"Detroit Lions",17,30,-4,FALSE,"9/17/1961",1961,"September","1960s",60,63,9
"85","196109170clt","Baltimore Colts",27,"Los Angeles Rams",24,51,3,TRUE,"9/17/1961",1961,"September","1960s",61,62,12
"86","196109170sfo","San Francisco 49ers",35,"Washington Redskins",3,38,32,TRUE,"9/17/1961",1961,"September","1960s",61,77,9
"87","196109230ram","Los Angeles Rams",17,"Chicago Bears",21,38,-4,FALSE,"9/23/1961",1961,"September","1960s",65,69,10
"88","196109240pit","Pittsburgh Steelers",14,"New York Giants",17,31,-3,FALSE,"9/24/1961",1961,"September","1960s",74,74,5
"89","196109240cle","Cleveland Browns",20,"St. Louis Cardinals",17,37,3,TRUE,"9/24/1961",1961,"September","1960s",74,74,9
"90","196109240dal","Dallas Cowboys",21,"Minnesota Vikings",7,28,14,TRUE,"9/24/1961",1961,"September","1960s",82,64,17
"91","196109240phi","Philadelphia Eagles",14,"Washington Redskins",7,21,7,TRUE,"9/24/1961",1961,"September","1960s",75,70,8
"92","196109240clt","Baltimore Colts",15,"Detroit Lions",16,31,-1,FALSE,"9/24/1961",1961,"September","1960s",78,66,8
"93","196109240gnb","Green Bay Packers",30,"San Francisco 49ers",10,40,20,TRUE,"9/24/1961",1961,"September","1960s",50,90,17
"94","196110010clt","Baltimore Colts",34,"Minnesota Vikings",33,67,1,TRUE,"10/1/1961",1961,"October","1960s",58,73,6
"95","196110010ram","Los Angeles Rams",24,"Pittsburgh Steelers",14,38,10,TRUE,"10/1/1961",1961,"October","1960s",62,78,9
"96","196110010was","Washington Redskins",21,"New York Giants",24,45,-3,FALSE,"10/1/1961",1961,"October","1960s",64,68,4
"97","196110010det","Detroit Lions",0,"San Francisco 49ers",49,49,-49,FALSE,"10/1/1961",1961,"October","1960s",59,73,16
"98","196110010phi","Philadelphia Eagles",27,"St. Louis Cardinals",30,57,-3,FALSE,"10/1/1961",1961,"October","1960s",59,78,6
"99","196110010cle","Cleveland Browns",25,"Dallas Cowboys",7,32,18,TRUE,"10/1/1961",1961,"October","1960s",62,65,15
"100","196110010gnb","Green Bay Packers",24,"Chicago Bears",0,24,24,TRUE,"10/1/1961",1961,"October","1960s",46,76,19
"101","196110080cle","Cleveland Browns",31,"Washington Redskins",7,38,24,TRUE,"10/8/1961",1961,"October","1960s",60,58,6
"102","196110080gnb","Green Bay Packers",45,"Baltimore Colts",7,52,38,TRUE,"10/8/1961",1961,"October","1960s",60,71,11
"103","196110080det","Detroit Lions",17,"Chicago Bears",31,48,-14,FALSE,"10/8/1961",1961,"October","1960s",60,71,7
"104","196110080phi","Philadelphia Eagles",21,"Pittsburgh Steelers",16,37,5,TRUE,"10/8/1961",1961,"October","1960s",63,75,6
"105","196110080sfo","San Francisco 49ers",35,"Los Angeles Rams",0,35,35,TRUE,"10/8/1961",1961,"October","1960s",61,37,25
"106","196110080min","Minnesota Vikings",0,"Dallas Cowboys",28,28,-28,FALSE,"10/8/1961",1961,"October","1960s",66,67,7
"107","196110080crd","St. Louis Cardinals",9,"New York Giants",24,33,-15,FALSE,"10/8/1961",1961,"October","1960s",67,59,12
"108","196110150dal","Dallas Cowboys",10,"New York Giants",31,41,-21,FALSE,"10/15/1961",1961,"October","1960s",60,58,11
"109","196110150det","Detroit Lions",14,"Los Angeles Rams",13,27,1,TRUE,"10/15/1961",1961,"October","1960s",42,78,9
"110","196110150crd","St. Louis Cardinals",7,"Philadelphia Eagles",20,27,-13,FALSE,"10/15/1961",1961,"October","1960s",51,50,10
"111","196110150cle","Cleveland Browns",17,"Green Bay Packers",49,66,-32,FALSE,"10/15/1961",1961,"October","1960s",44,62,16
"112","196110150min","Minnesota Vikings",24,"San Francisco 49ers",38,62,-14,FALSE,"10/15/1961",1961,"October","1960s",56,63,10
"113","196110150pit","Pittsburgh Steelers",20,"Washington Redskins",0,20,20,TRUE,"10/15/1961",1961,"October","1960s",39,88,15
"114","196110150chi","Chicago Bears",24,"Baltimore Colts",10,34,14,TRUE,"10/15/1961",1961,"October","1960s",50,66,13
"115","196110220nyg","New York Giants",24,"Los Angeles Rams",14,38,10,TRUE,"10/22/1961",1961,"October","1960s",52,65,26
"116","196110220pit","Pittsburgh Steelers",28,"Cleveland Browns",30,58,-2,FALSE,"10/22/1961",1961,"October","1960s",50,70,11
"117","196110220was","Washington Redskins",0,"St. Louis Cardinals",24,24,-24,FALSE,"10/22/1961",1961,"October","1960s",57,68,13
"118","196110220chi","Chicago Bears",31,"San Francisco 49ers",0,31,31,TRUE,"10/22/1961",1961,"October","1960s",49,82,8
"119","196110220dal","Dallas Cowboys",7,"Philadelphia Eagles",43,50,-36,FALSE,"10/22/1961",1961,"October","1960s",68,58,18
"120","196110220det","Detroit Lions",14,"Baltimore Colts",17,31,-3,FALSE,"10/22/1961",1961,"October","1960s",50,72,8
"121","196110220min","Minnesota Vikings",7,"Green Bay Packers",33,40,-26,FALSE,"10/22/1961",1961,"October","1960s",48,82,13
"122","196110290pit","Pittsburgh Steelers",20,"San Francisco 49ers",10,30,10,TRUE,"10/29/1961",1961,"October","1960s",55,49,9
"123","196110290clt","Baltimore Colts",20,"Chicago Bears",21,41,-1,FALSE,"10/29/1961",1961,"October","1960s",52,62,8
"124","196110290nyg","New York Giants",16,"Dallas Cowboys",17,33,-1,FALSE,"10/29/1961",1961,"October","1960s",58,53,18
"125","196110290crd","St. Louis Cardinals",10,"Cleveland Browns",21,31,-11,FALSE,"10/29/1961",1961,"October","1960s",68,60,18
"126","196110290gnb","Green Bay Packers",28,"Minnesota Vikings",10,38,18,TRUE,"10/29/1961",1961,"October","1960s",57,87,16
"127","196110290ram","Los Angeles Rams",10,"Detroit Lions",28,38,-18,FALSE,"10/29/1961",1961,"October","1960s",62,23,17
"128","196110290was","Washington Redskins",24,"Philadelphia Eagles",27,51,-3,FALSE,"10/29/1961",1961,"October","1960s",58,48,4
"129","196111050nyg","New York Giants",53,"Washington Redskins",0,53,53,TRUE,"11/5/1961",1961,"November","1960s",65,84,14
"130","196111050clt","Baltimore Colts",45,"Green Bay Packers",21,66,24,TRUE,"11/5/1961",1961,"November","1960s",69,78,11
"131","196111050phi","Philadelphia Eagles",16,"Chicago Bears",14,30,2,TRUE,"11/5/1961",1961,"November","1960s",68,81,9
"132","196111050sfo","San Francisco 49ers",20,"Detroit Lions",20,40,0,FALSE,"11/5/1961",1961,"November","1960s",54,62,10
"133","196111050cle","Cleveland Browns",13,"Pittsburgh Steelers",17,30,-4,FALSE,"11/5/1961",1961,"November","1960s",49,72,9
"134","196111050dal","Dallas Cowboys",17,"St. Louis Cardinals",31,48,-14,FALSE,"11/5/1961",1961,"November","1960s",50,66,22
"135","196111050ram","Los Angeles Rams",31,"Minnesota Vikings",17,48,14,TRUE,"11/5/1961",1961,"November","1960s",65,52,4
"136","196111120chi","Chicago Bears",28,"Green Bay Packers",31,59,-3,FALSE,"11/12/1961",1961,"November","1960s",52,78,13
"137","196111120was","Washington Redskins",6,"Cleveland Browns",17,23,-11,FALSE,"11/12/1961",1961,"November","1960s",48,67,4
"138","196111120pit","Pittsburgh Steelers",37,"Dallas Cowboys",7,44,30,TRUE,"11/12/1961",1961,"November","1960s",50,77,6
"139","196111120ram","Los Angeles Rams",17,"San Francisco 49ers",7,24,10,TRUE,"11/12/1961",1961,"November","1960s",59,73,5
"140","196111120min","Minnesota Vikings",28,"Baltimore Colts",20,48,8,TRUE,"11/12/1961",1961,"November","1960s",50,77,12
"141","196111120nyg","New York Giants",38,"Philadelphia Eagles",21,59,17,TRUE,"11/12/1961",1961,"November","1960s",49,63,11
"142","196111120crd","St. Louis Cardinals",14,"Detroit Lions",45,59,-31,FALSE,"11/12/1961",1961,"November","1960s",55,84,14
"143","196111190clt","Baltimore Colts",16,"St. Louis Cardinals",0,16,16,TRUE,"11/19/1961",1961,"November","1960s",34,61,8
"144","196111190gnb","Green Bay Packers",35,"Los Angeles Rams",17,52,18,TRUE,"11/19/1961",1961,"November","1960s",26,81,5
"145","196111190cle","Cleveland Browns",45,"Philadelphia Eagles",24,69,21,TRUE,"11/19/1961",1961,"November","1960s",35,59,10
"146","196111190min","Minnesota Vikings",10,"Detroit Lions",37,47,-27,FALSE,"11/19/1961",1961,"November","1960s",23,76,7
"147","196111190dal","Dallas Cowboys",28,"Washington Redskins",28,56,0,FALSE,"11/19/1961",1961,"November","1960s",43,87,9
"148","196111190sfo","San Francisco 49ers",41,"Chicago Bears",31,72,10,TRUE,"11/19/1961",1961,"November","1960s",48,79,7
"149","196111190nyg","New York Giants",42,"Pittsburgh Steelers",21,63,21,TRUE,"11/19/1961",1961,"November","1960s",39,48,18
"150","196111230det","Detroit Lions",9,"Green Bay Packers",17,26,-8,FALSE,"11/23/1961",1961,"November","1960s",43,97,8
"151","196111260sfo","San Francisco 49ers",38,"Minnesota Vikings",28,66,10,TRUE,"11/26/1961",1961,"November","1960s",53,86,9
"152","196111260cle","Cleveland Browns",21,"New York Giants",37,58,-16,FALSE,"11/26/1961",1961,"November","1960s",48,52,16
"153","196111260was","Washington Redskins",6,"Baltimore Colts",27,33,-21,FALSE,"11/26/1961",1961,"November","1960s",48,51,4
"154","196111260chi","Chicago Bears",28,"Los Angeles Rams",24,52,4,TRUE,"11/26/1961",1961,"November","1960s",49,70,12
"155","196111260pit","Pittsburgh Steelers",30,"St. Louis Cardinals",27,57,3,TRUE,"11/26/1961",1961,"November","1960s",45,57,9
"156","196111260phi","Philadelphia Eagles",35,"Dallas Cowboys",13,48,22,TRUE,"11/26/1961",1961,"November","1960s",45,41,8
"157","196112030clt","Baltimore Colts",20,"San Francisco 49ers",17,37,3,TRUE,"12/3/1961",1961,"December","1960s",47,58,8
"158","196112030dal","Dallas Cowboys",17,"Cleveland Browns",38,55,-21,FALSE,"12/3/1961",1961,"December","1960s",64,84,18
"159","196112030crd","St. Louis Cardinals",38,"Washington Redskins",24,62,14,TRUE,"12/3/1961",1961,"December","1960s",52,77,13
"160","196112030pit","Pittsburgh Steelers",24,"Philadelphia Eagles",35,59,-11,FALSE,"12/3/1961",1961,"December","1960s",42,82,5
"161","196112030min","Minnesota Vikings",42,"Los Angeles Rams",21,63,21,TRUE,"12/3/1961",1961,"December","1960s",37,100,13
"162","196112030gnb","Green Bay Packers",20,"New York Giants",17,37,3,TRUE,"12/3/1961",1961,"December","1960s",38,96,8
"163","196112030chi","Chicago Bears",15,"Detroit Lions",16,31,-1,FALSE,"12/3/1961",1961,"December","1960s",44,84,10
"164","196112090ram","Los Angeles Rams",34,"Baltimore Colts",17,51,17,TRUE,"12/9/1961",1961,"December","1960s",52,79,5
"165","196112100was","Washington Redskins",14,"Pittsburgh Steelers",30,44,-16,FALSE,"12/10/1961",1961,"December","1960s",34,90,1
"166","196112100chi","Chicago Bears",17,"Cleveland Browns",14,31,3,TRUE,"12/10/1961",1961,"December","1960s",30,87,15
"167","196112100phi","Philadelphia Eagles",24,"New York Giants",28,52,-4,FALSE,"12/10/1961",1961,"December","1960s",30,91,7
"168","196112100det","Detroit Lions",13,"Minnesota Vikings",7,20,6,TRUE,"12/10/1961",1961,"December","1960s",36,92,11
"169","196112100crd","St. Louis Cardinals",31,"Dallas Cowboys",13,44,18,TRUE,"12/10/1961",1961,"December","1960s",34,84,11
"170","196112100sfo","San Francisco 49ers",22,"Green Bay Packers",21,43,1,TRUE,"12/10/1961",1961,"December","1960s",48,72,12
"171","196112160sfo","San Francisco 49ers",24,"Baltimore Colts",27,51,-3,FALSE,"12/16/1961",1961,"December","1960s",44,88,4
"172","196112170nyg","New York Giants",7,"Cleveland Browns",7,14,0,FALSE,"12/17/1961",1961,"December","1960s",31,82,16
"173","196112170was","Washington Redskins",34,"Dallas Cowboys",24,58,10,TRUE,"12/17/1961",1961,"December","1960s",34,89,2
"174","196112170chi","Chicago Bears",52,"Minnesota Vikings",35,87,17,TRUE,"12/17/1961",1961,"December","1960s",33,91,13
"175","196112170crd","St. Louis Cardinals",20,"Pittsburgh Steelers",0,20,20,TRUE,"12/17/1961",1961,"December","1960s",38,87,9
"176","196112170ram","Los Angeles Rams",17,"Green Bay Packers",24,41,-7,FALSE,"12/17/1961",1961,"December","1960s",52,78,8
"177","196112170det","Detroit Lions",24,"Philadelphia Eagles",27,51,-3,FALSE,"12/17/1961",1961,"December","1960s",35,92,9
"178","196112310gnb","Green Bay Packers",37,"New York Giants",0,37,37,TRUE,"12/31/1961",1961,"December","1960s",17,82,10
"179","196209160sfo","San Francisco 49ers",14,"Chicago Bears",30,44,-16,FALSE,"9/16/1962",1962,"September","1960s",64,70,13
"180","196209160cle","Cleveland Browns",17,"New York Giants",7,24,10,TRUE,"9/16/1962",1962,"September","1960s",67,64,8
"181","196209160phi","Philadelphia Eagles",21,"St. Louis Cardinals",27,48,-6,FALSE,"9/16/1962",1962,"September","1960s",67,51,7
"182","196209160det","Detroit Lions",45,"Pittsburgh Steelers",7,52,38,TRUE,"9/16/1962",1962,"September","1960s",65,69,9
"183","196209160gnb","Green Bay Packers",34,"Minnesota Vikings",7,41,27,TRUE,"9/16/1962",1962,"September","1960s",62,79,9
"184","196209160clt","Baltimore Colts",30,"Los Angeles Rams",27,57,3,TRUE,"9/16/1962",1962,"September","1960s",68,56,8
"185","196209160dal","Dallas Cowboys",35,"Washington Redskins",35,70,0,FALSE,"9/16/1962",1962,"September","1960s",79,72,9
"186","196209230phi","Philadelphia Eagles",13,"New York Giants",29,42,-16,FALSE,"9/23/1962",1962,"September","1960s",61,66,15
"187","196209230min","Minnesota Vikings",7,"Baltimore Colts",34,41,-27,FALSE,"9/23/1962",1962,"September","1960s",53,79,9
"188","196209230cle","Cleveland Browns",16,"Washington Redskins",17,33,-1,FALSE,"9/23/1962",1962,"September","1960s",58,74,7
"189","196209230gnb","Green Bay Packers",17,"St. Louis Cardinals",0,17,17,TRUE,"9/23/1962",1962,"September","1960s",54,82,10
"190","196209230det","Detroit Lions",45,"San Francisco 49ers",24,69,21,TRUE,"9/23/1962",1962,"September","1960s",54,78,8
"191","196209230ram","Los Angeles Rams",23,"Chicago Bears",27,50,-4,FALSE,"9/23/1962",1962,"September","1960s",68,76,9
"192","196209230dal","Dallas Cowboys",28,"Pittsburgh Steelers",30,58,-2,FALSE,"9/23/1962",1962,"September","1960s",77,56,11
"193","196209300pit","Pittsburgh Steelers",27,"New York Giants",31,58,-4,FALSE,"9/30/1962",1962,"September","1960s",51,67,6
"194","196209300clt","Baltimore Colts",20,"Detroit Lions",29,49,-9,FALSE,"9/30/1962",1962,"September","1960s",57,68,8
"195","196209300was","Washington Redskins",24,"St. Louis Cardinals",14,38,10,TRUE,"9/30/1962",1962,"September","1960s",61,62,3
"196","196209300phi","Philadelphia Eagles",35,"Cleveland Browns",7,42,28,TRUE,"9/30/1962",1962,"September","1960s",56,69,8
"197","196209300ram","Los Angeles Rams",17,"Dallas Cowboys",27,44,-10,FALSE,"9/30/1962",1962,"September","1960s",66,84,7
"198","196209300gnb","Green Bay Packers",49,"Chicago Bears",0,49,49,TRUE,"9/30/1962",1962,"September","1960s",54,66,3
"199","196209300sfo","San Francisco 49ers",21,"Minnesota Vikings",7,28,14,TRUE,"9/30/1962",1962,"September","1960s",62,70,10
"200","196210060pit","Pittsburgh Steelers",13,"Philadelphia Eagles",7,20,6,TRUE,"10/6/1962",1962,"October","1960s",55,83,5
"201","196210070clt","Baltimore Colts",13,"San Francisco 49ers",21,34,-8,FALSE,"10/7/1962",1962,"October","1960s",64,67,12
"202","196210070min","Minnesota Vikings",0,"Chicago Bears",13,13,-13,FALSE,"10/7/1962",1962,"October","1960s",56,93,10
"203","196210070gnb","Green Bay Packers",9,"Detroit Lions",7,16,2,TRUE,"10/7/1962",1962,"October","1960s",56,94,8
"204","196210070cle","Cleveland Browns",19,"Dallas Cowboys",10,29,9,TRUE,"10/7/1962",1962,"October","1960s",58,82,5
"205","196210070was","Washington Redskins",20,"Los Angeles Rams",14,34,6,TRUE,"10/7/1962",1962,"October","1960s",67,59,11
"206","196210070crd","St. Louis Cardinals",14,"New York Giants",31,45,-17,FALSE,"10/7/1962",1962,"October","1960s",71,74,6
"207","196210140nyg","New York Giants",17,"Pittsburgh Steelers",20,37,-3,FALSE,"10/14/1962",1962,"October","1960s",57,36,9
"208","196210140dal","Dallas Cowboys",41,"Philadelphia Eagles",19,60,22,TRUE,"10/14/1962",1962,"October","1960s",77,75,12
"209","196210140min","Minnesota Vikings",21,"Green Bay Packers",48,69,-27,FALSE,"10/14/1962",1962,"October","1960s",70,90,11
